Date,Open,High,Low,Close,Volume
31.12.2010 22:00:00.000,1.02313,1.02313,1.02281,1.02281,0
01.01.2011 22:00:00.000,1.02281,1.02281,1.02281,1.02281,0
02.01.2011 22:00:00.000,1.0207,1.02267,1.01582,1.01687,69778.4109
03.01.2011 22:00:00.000,1.01687,1.01716,1.00294,1.00517,124906.5397
04.01.2011 22:00:00.000,1.00517,1.0077,0.99613,0.99961,119343.0942
05.01.2011 22:00:00.000,0.99961,1.00159,0.99338,0.99449,99106.5343
06.01.2011 22:00:00.000,0.99448,0.99932,0.99087,0.99614,101413.4171
07.01.2011 22:00:00.000,0.99614,0.99614,0.99614,0.99614,0
08.01.2011 22:00:00.000,0.99614,0.99614,0.99614,0.99614,0
09.01.2011 22:00:00.000,0.99341,0.99833,0.9884,0.99572,118394.7046
10.01.2011 22:00:00.000,0.99572,0.99587,0.98216,0.98729,122107.8157
11.01.2011 22:00:00.000,0.98728,0.99678,0.98055,0.99657,113429.9389
12.01.2011 22:00:00.000,0.99661,1.002,0.99282,0.99769,106874.0247
13.01.2011 22:00:00.000,0.99772,0.99944,0.98574,0.98903,108668.1252
14.01.2011 22:00:00.000,0.98903,0.98903,0.98903,0.98903,0
15.01.2011 22:00:00.000,0.98903,0.98903,0.98903,0.98903,0
16.01.2011 22:00:00.000,0.99101,0.9969,0.98646,0.99379,76020.3881
17.01.2011 22:00:00.000,0.99383,1.0006,0.98987,0.99934,108866.6377
18.01.2011 22:00:00.000,0.99937,1.00779,0.99637,1.001,133070.5471
19.01.2011 22:00:00.000,1.001,1.00124,0.98335,0.9872,149034.8035
20.01.2011 22:00:00.000,0.98721,0.99193,0.98411,0.98999,115771.2805
21.01.2011 22:00:00.000,0.98999,0.98999,0.98999,0.98999,0
22.01.2011 22:00:00.000,0.98999,0.98999,0.98999,0.98999,0
23.01.2011 22:00:00.000,0.98844,1.00227,0.98651,0.99752,101634.9528
24.01.2011 22:00:00.000,0.99755,0.9994,0.98914,0.99681,133492.5172
25.01.2011 22:00:00.000,0.99682,0.99983,0.99304,0.99926,100611.7207
26.01.2011 22:00:00.000,0.9993,1.00021,0.98785,0.99207,128250.7856
27.01.2011 22:00:00.000,0.99207,0.9986,0.98848,0.99411,126398.2606
